Locus	sdhD (K00242)	sucB (K00658)	gltA (K01647)	aspB/C (K00812)	gdhX (K15371)	lpd (K00382)	maeB (K00029)	sdhB (K00240)	sucC (K01903)	fumC (K01679)	acnA (K01681)	mdh (K00024)	sdhC (K00241)	sucD (K01902)	sucA (K00164)	lpd (K00382)	sdhA (K00239)	icd (K00031)	glnA (K01915)
Group	citrate cycle (TCA cycle) IIa - succinyl-CoA biosynthesis	citrate cycle (TCA cycle) IIa - succinyl-CoA biosynthesis	citrate cycle (TCA cycle) I - 2-oxoglutarate biosynthesis	citrate cycle (TCA cycle) IIb - glutamate metabolism	citrate cycle (TCA cycle) IIb - glutamate metabolism	citrate cycle (TCA cycle) IIa - succinyl-CoA biosynthesis	citrate cycle (TCA cycle) I - 2-oxoglutarate biosynthesis	citrate cycle (TCA cycle) IIa - succinyl-CoA biosynthesis	citrate cycle (TCA cycle) IIa - succinyl-CoA biosynthesis	citrate cycle (TCA cycle) IIa - succinyl-CoA biosynthesis	citrate cycle (TCA cycle) I - 2-oxoglutarate biosynthesis	citrate cycle (TCA cycle) I - 2-oxoglutarate biosynthesis	citrate cycle (TCA cycle) IIa - succinyl-CoA biosynthesis	citrate cycle (TCA cycle) IIa - succinyl-CoA biosynthesis	citrate cycle (TCA cycle) IIa - succinyl-CoA biosynthesis	citrate cycle (TCA cycle) IIa - succinyl-CoA biosynthesis	citrate cycle (TCA cycle) IIa - succinyl-CoA biosynthesis	citrate cycle (TCA cycle) I - 2-oxoglutarate biosynthesis	citrate cycle (TCA cycle) IIb - glutamate metabolism
Length (Max)	127	401	442	412	1634	462	809	261	387	463	917	321	135	292	1028	465	599	491	284
Length (Mean)	124.93	398.13	435.13	399.05	1,583.76	456.68	767.11	261	385.95	461.47	878.92	314.16	124.23	286.55	911.07	458.87	596.04	482.26	270.08
Length (SD)	1.19	2.6	1.49	21.99	23.79	15.22	56.67	0	0.26	6.17	4.56	1.37	1.33	12.31	103.38	1.17	0.33	8.14	27.84
Length (Median)	125	399	435	401	1,583	459	767	261	386	463	878	314	124	292	928	459	596	483	277
Length (Mode)	125	395	435	401	1,583	459	767	261	386	463	878	314	124	292	928	459	596	483	277
Candidatus_Rickettsia_amblyommii_str._Ac/Pa	125	399	435	401	1583	459	767	261	386	463	878	314	124	258	928	459	596	483	110
Candidatus_Rickettsia_amblyommii_str._Ac37	125	399	435	401	1583	459	767	261	386	463	878	314	124	292	928	459	596	483	276
Candidatus_Rickettsia_amblyommii_str._Darkwater	125	399	435	401	1583	459	767	261	0	463	0	314	124	0	928	459	596	483	276
Candidatus_Rickettsia_amblyommii_str._GAT-30V	125	399	435	401	1583	459	767	261	386	463	878	314	124	292	928	459	596	483	276
Candidatus_Rickettsia_asemboensis	125	401	435	399	1583	459	767	261	386	463	878	314	124	292	928	459	596	483	276
Candidatus_Rickettsia_gravesii_BWI-1	125	399	435	401	1583	459	809	261	386	463	878	314	124	258	928	459	596	483	284
Rickettsia_aeschlimannii_MC16	125	395	435	401	1583	459	802	261	386	463	878	314	124	258	928	459	0	483	277
Rickettsia_africae_ESF-5	126	395	435	401	1583	459	767	261	386	463	878	314	124	291	928	459	596	483	277
Rickettsia_akari_str._Hartford	125	400	435	399	1582	459	767	261	386	463	878	314	124	292	928	459	596	483	277
Rickettsia_argasii_T170-B	125	395	435	401	1583	459	767	261	386	463	878	314	124	292	928	459	596	483	0
Rickettsia_australis_str._Cutlack	125	398	435	399	1582	459	767	261	386	461	878	314	124	292	928	459	596	483	277
Rickettsia_australis_str._Phillips	125	398	435	399	1582	459	767	261	386	461	878	320	135	292	331	459	596	483	277
Rickettsia_bellii_OSU_85-389	125	400	435	399	1583	459	765	261	385	463	885	314	125	291	927	459	596	483	273
Rickettsia_bellii_RML369-C	125	400	435	399	1451	459	765	261	385	463	885	314	125	291	927	459	596	483	273
Rickettsia_bellii_str._RML_An4	125	400	435	399	1583	459	765	261	385	463	885	314	0	291	731	459	596	483	273
Rickettsia_bellii_str._RML_Mogi	125	400	435	399	1583	459	765	261	385	463	887	314	125	291	927	459	596	483	177
Rickettsia_canadensis_str._CA410	125	401	436	406	1584	462	766	261	386	463	877	314	124	292	929	459	596	483	277
Rickettsia_canadensis_str._McKiel	125	401	436	406	1584	462	766	261	386	463	877	314	124	292	929	459	596	488	277
Rickettsia_conorii_str._Malish_7	126	395	435	401	1583	459	767	261	386	463	878	314	124	292	928	459	596	483	277
Rickettsia_conorii_subsp._caspia_A-167	126	395	435	401	1583	459	802	261	386	463	878	314	124	258	928	459	596	483	277
Rickettsia_conorii_subsp._indica_ITTR	126	395	435	401	1583	459	802	261	386	463	878	314	124	258	928	459	596	483	277
Rickettsia_conorii_subsp._israelensis_ISTT_CDC1	126	395	435	401	1583	459	802	261	386	463	878	314	124	258	928	459	596	483	277
Rickettsia_endosymbiont_of_Ixodes_pacificus	125	401	435	400	1630	459	767	261	386	463	878	314	124	292	928	458	596	483	167
Rickettsia_endosymbiont_of_Ixodes_scapularis	125	401	435	400	1633	459	767	261	386	463	878	314	124	292	0	458	596	483	277
Rickettsia_endosymbiont_of_Proechinophthirus_fluctus	125	395	435	401	1583	459	766	261	386	463	878	314	124	292	928	0	596	483	277
Rickettsia_felis_URRWXCal2	120	401	435	409	1594	459	767	261	386	461	878	314	124	292	983	459	596	491	277
Rickettsia_felis_str._LSU	120	401	435	0	0	459	767	261	386	0	878	308	124	292	0	459	596	0	0
Rickettsia_felis_str._LSU-Lb	120	401	435	409	0	459	767	261	386	461	878	314	124	292	0	0	596	0	0
Rickettsia_felis_str._Pedreira	120	401	435	409	1583	454	767	261	386	461	878	314	124	292	977	459	596	483	277
Rickettsia_heilongjiangensis_054	125	395	435	401	1583	459	767	261	386	463	878	314	124	292	928	459	596	483	277
Rickettsia_helvetica_C9P9	125	401	435	401	1632	459	767	261	386	463	917	314	123	292	977	459	596	483	277
Rickettsia_honei_RB	125	395	435	401	1582	459	797	261	386	463	878	314	124	292	928	459	596	483	277
Rickettsia_hoogstraalii_Croatica	125	399	435	398	1582	459	767	261	386	463	878	314	124	258	1028	459	596	483	277
Rickettsia_hoogstraalii_str._RCCE3	125	399	435	404	1582	459	767	261	386	463	878	314	124	292	977	459	596	483	0
Rickettsia_japonica_YH	125	395	435	401	1583	459	767	261	386	463	878	314	124	292	928	459	596	483	277
Rickettsia_massiliae_MTU5	125	401	442	406	1602	459	796	261	386	463	878	320	124	292	928	459	599	483	281
Rickettsia_massiliae_str._AZT80	125	400	435	401	1584	459	767	261	386	463	878	314	124	292	928	459	596	483	277
Rickettsia_monacensis_IrR/Munich	125	401	435	400	1633	459	767	261	386	463	878	314	124	290	975	458	596	483	0
Rickettsia_montanensis_str._OSU_85-930	125	399	435	401	1583	459	767	261	387	463	878	314	124	292	928	459	596	483	277
Rickettsia_parkeri_str._AT#24	126	395	435	401	1583	459	767	261	386	463	879	314	124	258	928	459	596	483	277
Rickettsia_parkeri_str._Grand_Bay	126	395	435	401	1583	459	767	261	386	463	879	314	124	292	928	459	596	483	0
Rickettsia_parkeri_str._Portsmouth	126	395	435	401	1583	459	767	261	386	463	879	314	124	292	928	459	596	483	277
Rickettsia_parkeri_str._Tates_Hell	126	395	435	401	1583	459	767	261	386	463	879	314	124	258	928	459	596	483	277
Rickettsia_peacockii_str._Rustic	125	395	435	401	1582	459	767	261	386	463	878	321	124	292	928	459	596	483	276
Rickettsia_philipii_str._364D	125	395	435	401	1584	459	793	261	386	463	878	314	124	292	928	459	596	483	277
Rickettsia_prowazekii_str._Breinl	125	401	436	412	1581	354	767	261	386	422	878	314	124	292	544	459	596	483	276
Rickettsia_prowazekii_str._BuV67-CWPP	125	401	436	399	1581	459	767	261	386	461	878	314	124	292	936	459	596	483	276
Rickettsia_prowazekii_str._Cairo_3	125	401	436	412	1581	459	767	261	386	461	878	314	124	292	936	459	596	483	276
Rickettsia_prowazekii_str._Chernikova	125	401	436	399	1581	459	767	261	386	461	878	314	124	292	936	459	596	483	276
Rickettsia_prowazekii_str._Dachau	125	401	436	399	1581	459	767	261	386	461	878	314	124	292	936	459	596	0	276
Rickettsia_prowazekii_str._GvF12	125	401	436	202	1581	365	767	261	386	461	878	314	124	292	802	459	596	483	276
Rickettsia_prowazekii_str._GvV257	125	401	436	399	1581	459	767	261	386	461	878	314	124	292	936	459	596	483	276
Rickettsia_prowazekii_str._Katsinyian	125	401	436	399	1581	459	767	261	386	461	878	314	124	292	936	459	596	483	276
Rickettsia_prowazekii_str._Madrid_E	125	401	436	412	1581	459	767	261	386	461	878	314	124	292	936	453	596	483	276
Rickettsia_prowazekii_str._NMRC_Madrid_E	125	401	436	412	1581	459	767	261	386	461	878	314	124	258	936	459	596	483	276
Rickettsia_prowazekii_str._Rp22	125	401	436	399	1581	459	767	261	386	461	878	314	124	292	967	453	596	483	276
Rickettsia_prowazekii_str._RpGvF24	125	401	436	399	1581	459	767	261	386	461	878	314	124	292	936	459	596	483	276
Rickettsia_raoultii	125	399	435	401	1582	459	767	261	386	463	878	314	124	292	928	459	596	483	277
Rickettsia_rhipicephali_HJ#5	124	399	435	401	1584	459	767	261	386	463	878	314	124	292	928	459	596	483	277
Rickettsia_rhipicephali_str._3-7-female6-CWPP	124	399	435	401	1584	459	767	261	386	463	878	314	124	292	928	459	596	483	277
Rickettsia_rhipicephali_str._Ect	125	400	435	401	1584	459	767	261	386	463	878	314	124	258	928	459	596	483	277
Rickettsia_rickettsii_str._Arizona	125	395	435	401	1584	459	766	261	386	463	878	314	124	292	928	459	596	483	277
Rickettsia_rickettsii_str._Brazil	125	395	435	401	1584	459	766	261	386	463	878	314	124	292	928	459	596	483	277
Rickettsia_rickettsii_str._Colombia	125	395	435	401	1584	459	766	261	386	463	878	314	124	292	928	459	596	483	277
Rickettsia_rickettsii_str._Hauke	125	395	435	401	1584	459	766	261	386	463	878	314	124	292	928	459	596	483	277
